Entry	Protein names	Gene names	Length	Region
P38809	Uncharacterized protein YHR097C	YHR097C	366	REGION 1..135;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 313..366;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q04116	Homeobox protein YHP1	YHP1 YDR451C D9461.36	353	REGION 86..106;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P43539	Uncharacterized protein YFL065C	YFL065C	102	
P38616	Protein YGP1 (GP38)	YGP1 YNL160W N1731	354	
Q8TGU1	Uncharacterized protein YGL188C-A	YGL188C-A	46	
P36060	NADH-cytochrome b5 reductase 2 (EC 1.6.2.2) (Mitochondrial cytochrome b reductase) (p34/p32) [Cleaved into: NADH-cytochrome b5 reductase p34 form; NADH-cytochrome b5 reductase p32 form]	MCR1 YKL150W YKL605	302	
P28795	Peroxisomal biogenesis factor 3 (Peroxin-3)	PEX3 PAS3 YDR329C D9798.15	441	
P50861	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	RIB4 YOL143C	169	REGION 61..63;  /note="5-amino-6-(D-ribitylamino)uracil binding"; REGION 90..92;  /note="5-amino-6-(D-ribitylamino)uracil binding"; REGION 95..96;  /note="1-deoxy-L-glycero-tetrulose 4-phosphate binding"
Q12008	Phosphoglycerate mutase 2 (PGAM 2) (EC 5.4.2.11) (BPG-dependent PGAM 2) (MPGM 2) (Phosphoglyceromutase 2)	GPM2 YDL021W D2835	311	REGION 16..23;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00950"; REGION 29..30;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00950"; REGION 126..129;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00950"; REGION 153..154;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00950"; REGION 243..244;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00950"
P32634	Negative regulator of sporulation PMD1	PMD1 YER132C SYGP-ORF50	1753	REGION 651..753;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 771..807;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 875..915;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 938..957;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 962..988;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1312..1467;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1604..1686;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1706..1753;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P27616	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	ADE1 YAR015W	306	
P38234	Protein RFS1 (RAD55 suppressor protein 1)	RFS1 YBR052C YBR0505	210	
Q07844	Ribosome biogenesis ATPase RIX7	RIX7 YLL034C	837	REGION 36..56;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 149..207;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 443..468;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P0CX42	60S ribosomal protein L23-B (L17a) (Large ribosomal subunit protein uL14-B) (YL32)	RPL23B RPL17AB RPL17B YER117W	137	
P04456	60S ribosomal protein L25 (Large ribosomal subunit protein uL23) (RP16L) (YL25) (YP42')	RPL25 YOL127W	142	
P53221	60S ribosomal protein L26-B (L33) (Large ribosomal subunit protein uL24-B) (YL33)	RPL26B RPL33B YGR034W	127	
P49626	60S ribosomal protein L4-B (L2) (Large ribosomal subunit protein uL4-B) (RP2) (YL2)	RPL4B RPL2B YDR012W YD8119.17	362	REGION 277..362;  /note="C-terminal-extended nuclear localization signal";  /evidence="ECO:0000269|PubMed:25936803"
P25441	DNA-directed RNA polymerase III subunit RPC4 (RNA polymerase III subunit C4) (C53) (DNA-directed RNA polymerase III 47 kDa polypeptide)	RPC53 RPC4 YDL150W D1557	422	REGION 1..80;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 115..190;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 219..244;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 318..350;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P22353	54S ribosomal protein L8, mitochondrial (Mitochondrial large ribosomal subunit protein bL17m) (YmL8)	MRPL8 YJL063C HRD238 J1125	238	
P40693	Ribosome biogenesis protein RLP7 (Ribosomal protein L7-like)	RLP7 RPL7 YNL002C N2014	322	REGION 1..52;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38064	54S ribosomal protein L16, mitochondrial (Mitochondrial large ribosomal subunit protein uL16m) (YmL47)	MRPL16 RML16 YBL038W YBL0411	232	
Q08723	26S proteasome regulatory subunit RPN8	RPN8 YOR261C O5360	338	REGION 301..338;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12049	Protein THP3 (THO-related protein 3)	THP3 YPR045C YP9499.03c	470	REGION 1..31;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 137..167;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53072	tRNA acetyltransferase TAN1 (EC 2.3.-.-)	TAN1 YGL232W	289	REGION 1..31;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 64..83;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40468	Cell morphogenesis protein PAG1 (Protein TAO3)	TAO3 PAG1 YIL129C	2376	REGION 1..30;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 275..294;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q08693	Putative zinc metalloprotease TRE2 (EC 3.-.-.-) (Transferrin receptor-like protein 2)	TRE2 YOR256C	809	REGION 1..66;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40061	Target of rapamycin complex 2 subunit TSC11 (TORC2 subunit TSC11) (Adheres voraciously to TOR2 protein 3) (Temperature-sensitive CSG2 suppressor protein 11)	TSC11 AVO3 YER093C	1430	REGION 1..62;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 182..285;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P12887	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	UNG1 YML021C	359	
P32913	Vacuolar protein sorting-associated protein 17 (Carboxypeptidase Y-deficient protein 21)	VPS17 PEP21 YOR132W O3314 YOR3314W	551	REGION 1..100;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 474..504;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q03785	Serine/threonine-protein kinase VHS1 (EC 2.7.11.1) (Viable in a HAL3 SIT4 background protein 1)	VHS1 YDR247W YD8419.14	461	REGION 384..433;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P39548	DUP240 protein YAR028W	YAR028W FUN56	234	REGION 168..187;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
D6VPM8	Putative DUP240 protein YAR023C	YAR023C	179	
P38299	Uncharacterized protein YBR184W	YBR184W YBR1306	523	
P81450	ATP synthase subunit J, mitochondrial (ATPase synthase I subunit)	ATP18 YML081C-A YML081BC	59	
Q12166	2-isopropylmalate synthase 2, mitochondrial (EC 2.3.3.13) (Alpha-IPM synthase 2) (Alpha-isopropylmalate synthase 2) (Alpha-isopropylmalate synthase II)	LEU9 YOR108W YOR3227w	604	
P36007	L-threo-3-hydroxyaspartate ammonia-lyase (EC 4.3.1.16) (L-threo-3-hydroxyaspartate dehydratase)	SRY1 YKL218C	326	REGION 179..183;  /note="Pyridoxal phosphate binding";  /evidence="ECO:0000250|UniProtKB:P04968"
P32783	mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase)	ABD1 YBR236C YBR1602	436	REGION 1..50;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 150..151;  /note="mRNA cap binding";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00895"
P36051	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-) (Morphogenesis checkpoint-dependent protein 4) (Supersecretion of u-PA protein 21)	MCD4 FSR2 SSU21 ZRG16 YKL165C YKL619	919	
P43619	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)	BNA6 QPT1 YFR047C	295	REGION 142..144;  /note="Substrate binding"; REGION 256..258;  /note="Substrate binding"
P05150	Ornithine carbamoyltransferase (EC 2.1.3.3) (Ornithine transcarbamylase) (OTCase)	ARG3 YJL088W J0924	338	REGION 67..71;  /note="Ornithine and carbamoyl phosphate binding";  /evidence="ECO:0000250"; REGION 145..148;  /note="Ornithine and carbamoyl phosphate binding";  /evidence="ECO:0000250"; REGION 249..253;  /note="Ornithine binding";  /evidence="ECO:0000250"; REGION 288..291;  /note="Ornithine binding";  /evidence="ECO:0000250"
Q05518	Protein PAL1 (Pears and lemons protein 1)	PAL1 YDR348C	499	REGION 1..232;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 379..499;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53112	Peroxisomal membrane protein PEX14 (Peroxin-14)	PEX14 YGL153W G1870	341	REGION 276..341;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q03289	Palmitoyltransferase PFA5 (EC 2.3.1.225) (Protein fatty acyltransferase 5)	PFA5 YDR459C	374	
P10834	Protein PET54 (Petite colonies protein 54)	PET54 YGR222W G8527	293	
P07269	Regulatory protein PHO2 (General regulatory factor 10)	PHO2 BAS2 GRF10 YDL106C D2350	559	REGION 16..88;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 132..158;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 293..333;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 534..559;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P17442	Phosphate system positive regulatory protein PHO81 (CDK inhibitor PHO81)	PHO81 YGR233C G8567	1178	REGION 210..250;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P20053	U4/U6 small nuclear ribonucleoprotein PRP4 (Pre-mRNA-processing protein 4)	PRP4 RNA4 YPR178W P9705.6	465	
P42946	Pheromone-regulated membrane protein 10	PRM10 YJL108C J0811	383	
P32772	Protein UGX2	UGX2 YDL169C	223	REGION 78..117;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P41544	Protein SYS1	SYS1 YJL004C J1402 YJR83.17	203	
P23255	Transcription initiation factor TFIID subunit 2 (TAFII-150) (TBP-associated factor 150 kDa) (TBP-associated factor 2) (TSM-1)	TAF2 TAF150 TSM1 YCR042C YCR42C YCR724	1407	REGION 252..336;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1285..1350;  /note="Highly charged"
P11325	Leucine--tRNA ligase, mitochondrial (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	NAM2 MSL1 YLR382C L3502.6	894	
Q08224	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase THI20 (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)	THI20 YOL055C O1239	551	
P35691	Translationally-controlled tumor protein homolog (TCTP) (Microtubule and mitochondria-interacting protein 1) (Translation machinery-associated protein 19)	TMA19 MMI1 YKL056C YKL312	167	
P38228	Mitochondrial chaperone TCM62	TCM62 YBR044C YBR0414	572	
P53220	Mitochondrial import inner membrane translocase subunit TIM21	TIM21 YGR033C	239	
P36142	Transmembrane protein 184 homolog YKR051W	YKR051W	418	
P53215	tRNA(His) guanylyltransferase (EC 2.7.7.79) (tRNA-histidine guanylyltransferase)	THG1 YGR024C	237	
P38288	Protein TOS1 (Target of SBF 1)	TOS1 YBR162C YBR1213	455	REGION 158..221;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q03322	t-SNARE affecting a late Golgi compartment protein 1 (Syntaxin TLG1)	TLG1 YDR468C D8035.11	224	REGION 1..106;  /note="Interaction with VPS51";  /evidence="ECO:0000269|PubMed:12377769"
P07285	Anthranilate phosphoribosyltransferase (PRtransferase) (EC 2.4.2.18)	TRP4 YDR354W D9476.4	380	
P32588	Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1 (ARS consensus-binding protein ACBP-60) (Poly uridylate-binding protein) (Poly(U)-binding protein)	PUB1 RNP1 YNL016W N2842	453	REGION 1..67;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 241..262;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 260..264;  /note="RNA-binding RGG-box";  /evidence="ECO:0000250"; REGION 419..453;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P30656	Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain subunit PRE2) (Multicatalytic endopeptidase complex subunit PRE2) (Proteasome component PRE2) (Proteinase YSCE subunit PRE2)	PRE2 DOA3 PRG1 YPR103W P8283.10	287	
Q08003	Regulator of free ubiquitin chains 1	RFU1 YLR073C	200	
Q00816	Resistance to glucose repression protein 1 (Protein HEX2) (Second-site suppressor of the rna1-1 mutation 1)	REG1 HEX2 PZF240 SPP43 SRN1 YDR028C YD9813.06C	1014	REGION 1..63;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 90..144;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 236..270;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 340..463;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 531..557;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 570..591;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 690..897;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 959..982;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P36144	Ribosome biogenesis protein UTP30 (U3 snoRNP-associated protein UTP30)	UTP30 YKR060W	274	
P47006	DNA-directed RNA polymerase I subunit RPA34 (A34) (DNA-directed DNA-dependent RNA polymerase 34.5 kDa polypeptide) (A34.5)	RPA34 YJL148W J0637	233	REGION 179..233;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P10964	DNA-directed RNA polymerase I subunit RPA190 (EC 2.7.7.6) (DNA-directed RNA polymerase I 190 kDa polypeptide) (A190) (DNA-directed RNA polymerase I largest subunit)	RPA190 RPA1 RRN1 YOR341W O6276	1664	REGION 280..310;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 992..1004;  /note="Bridging helix";  /evidence="ECO:0000250"; REGION 1343..1423;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12745	Protein transport protein SEC39 (Dependent on SLY1-20 protein 3)	SEC39 DSL3 YLR440C	709	
P38688	Signal recognition particle subunit SRP72 (Signal recognition particle 72 kDa protein homolog)	SRP72 YPL210C	640	REGION 574..640;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q04477	Kinetochore protein SPC24	SPC24 YMR117C YM9718.16C	213	
Q06506	Ribosomal RNA-processing protein 9	RRP9 YPR137W	573	REGION 1..63;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P46784	40S ribosomal protein S10-B (Small ribosomal subunit protein eS10-B)	RPS10B YMR230W YM9959.12	105	
P25381	Subtilase-type proteinase RRT12 (EC 3.4.21.-) (Outer spore wall protein 3) (Regulator of rDNA transcription protein 12)	RRT12 OSW3 YCR045C YCR45C	491	
P40042	Regulator of rDNA transcription protein 13	RRT13 YER066W	185	
P36085	Protein STB6	STB6 YKL072W YKL352	766	REGION 447..469;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38359	Sulfate permease 1 (High-affinity sulfate transporter 1)	SUL1 SFP2 YBR294W YBR2110	859	
Q12325	Sulfate permease 2 (High-affinity sulfate transporter 2)	SUL2 SEL2 YLR092W L9449.1	893	REGION 1..25;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P26783	40S ribosomal protein S5 (RP14) (S2) (Small ribosomal subunit protein uS7) (YS8)	RPS5 RPS2 YJR123W J2045	225	
P0CX36	40S ribosomal protein S4-B (RP5) (S7) (Small ribosomal subunit protein eS4-B) (YS6)	RPS4B RPS7A YHR203C	261	
Q12416	G1-specific transcriptional repressor WHI5	WHI5 YOR083W YOR3116W	295	REGION 1..171;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 249..295;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40157	Vacuolar import and degradation protein 27	VID27 YNL212W N1327	782	REGION 188..215;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 372..422;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12363	Transcriptional modulator WTM1	WTM1 YOR230W YOR50-20	437	REGION 368..404;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40520	Uncharacterized protein YIL059C	YIL059C	121	
P53110	Uncharacterized protein YGL159W	YGL159W G1840	370	
P53222	Uncharacterized protein YGR035C	YGR035C	116	REGION 1..26;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 74..116;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12257	IMPACT family member YDL177C	YDL177C	170	REGION 79..98;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q3E7Z3	Uncharacterized protein YIR018C-A	YIR018C-A	45	
P53225	Uncharacterized protein YGR039W	YGR039W	103	
Q12392	Transposon Ty2-DR1 Gag polyprotein (Transposon Ty2 protein A) (TY2A) (TYA) (Ty917 protein A) [Cleaved into: Capsid protein (CA); Gag-p4]	TY2A-DR1 YDRCTy2-1 GAG YDR034C-C YD9673.06c	438	REGION 1..88;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 295..397;  /note="RNA-binding";  /evidence="ECO:0000250"; REGION 360..403;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 418..438;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12485	Transposon Ty1-GR2 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	TY1A-GR2 YGRCTy1-2 GAG YGR038C-A G4128	440	REGION 1..93;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 126..173;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 299..401;  /note="RNA-binding";  /evidence="ECO:0000250"; REGION 352..440;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P43578	Uncharacterized protein YFL015C	YFL015C	164	
Q03780	Uncharacterized protein YDR239C	YDR239C	787	REGION 1..115;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 130..200;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 217..238;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P0CX66	Transposon Ty1-ER2 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	TY1A-ER2 YERCTy1-2 GAG YER159C-A YER160C-A	440	REGION 1..93;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 126..173;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 299..401;  /note="RNA-binding";  /evidence="ECO:0000250"; REGION 352..440;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53183	Putative uncharacterized oxidoreductase YGL039W (EC 1.1.1.-)	YGL039W	348	
Q07950	Sterol esterase 2 (EC 3.1.1.13) (Steryl ester hydrolase 2)	YEH2 YLR020C	538	REGION 42..87;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P39974	Uncharacterized protein YEL073C	YEL073C	107	
P25354	DUP240 protein YCR007C	YCR007C YCR045 YCR7C	239	
Q12459	Pheromone-regulated protein PRM7	PRM7 YDL039C D2723 D2726 YDL038C	698	REGION 1..65;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 133..183;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 197..274;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 455..480;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P33297	26S proteasome regulatory subunit 6A (Tat-binding protein homolog 1) (TBP-1)	RPT5 YTA1 YOR117W O3258 YOR3258W	434	
P47116	Serine/threonine-protein kinase PTK2/STK2 (EC 2.7.11.1)	PTK2 STK2 YJR059W J1725	818	REGION 28..100;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 117..177;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 585..795;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P25378	Rheb-like protein RHB1 (GTP-binding protein RSG1)	RHB1 RSG1 YCR027C YCR27C	209	
P53437	RNA polymerase I-specific transcription initiation factor RRN9	RRN9 YMR270C YM8156.12C	365	
P38805	Ribosome production factor 1 (Ribosome biogenesis protein RPF1)	RPF1 YHR088W	295	REGION 24..47;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 254..271;  /note="RNA-binding"
P39516	40S ribosomal protein S14-B (RP59B) (Small ribosomal subunit protein uS11-B)	RPS14B CRY2 YJL191W J0354	138	REGION 118..138;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P0CX52	40S ribosomal protein S16-B (RP61R) (Small ribosomal subunit protein uS9-B)	RPS16B YDL083C	143	REGION 123..143;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P0CX47	40S ribosomal protein S11-A (RP41) (S18) (Small ribosomal subunit protein uS17-A) (YS12)	RPS11A RPS18A YDR025W YD9813.03	156	
P38314	Protein SDS24	SDS24 YBR214W YBR1501	527	REGION 1..75;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 424..478;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 508..527;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
