Entry	Gene.names	Protein.names
P31787	ACB1	Acyl-CoA-binding protein (ACBP)
Q12471	PFK27	6-phosphofructo-2-kinase 2 (6PF-2-K 2) (EC 2.7.1.105) (Phosphofructokinase 2 II)
P53930	YAF9	Protein AF-9 homolog
P18238	AAC3	ADP,ATP carrier protein 3 (ADP/ATP translocase 3) (Adenine nucleotide translocator 3) (ANT 3)
P38065	APL3	AP-2 complex subunit alpha (Alpha-adaptin) (Clathrin assembly protein complex 2 alpha large chain) (Clathrin assembly protein large alpha chain)
Q12674	DNF3	Probable phospholipid-transporting ATPase DNF3 (EC 7.6.2.1) (Aminophospholipid translocase) (APT) (Phospholipid translocase) (PLT)
Q05611	BSC2	Bypass of stop codon protein 2
P36122	BCH2	Protein BCH2 (BUD7 and CHS6 homolog 2)
P06182	CYC3	Holocytochrome-c synthase (EC 4.4.1.17) (Cytochrome c heme lyase) (CCHL)
P24869	CLB2	G2/mitotic-specific cyclin-2
O13297	CET1	mRNA-capping enzyme subunit beta (EC 3.1.3.33) (Polynucleotide 5'-triphosphatase) (mRNA 5'-triphosphatase) (TPase)
P00401	COX1	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)
Q05892	COQ11	MIOREX complex component 2 (Mitochondrial organization of gene expression protein 2)
P31373	CYS3	Cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase) (Sulfur transfer protein 1)
P15315	CUP2	Transcriptional activator protein CUP2 (Copper-fist transcription factor)
P18962	DAP2	Dipeptidyl aminopeptidase B (DPAP B) (EC 3.4.14.-) (YSCV)
P37298	SDH4	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial (CybS) (Succinate-ubiquinone reductase membrane anchor subunit)
P47146	ABM1	Aberrant microtubules protein 1
P40535	CST6	ATF/CREB activator 2 (Chromosome stability protein CST6)
Q04516	AIM33	Uncharacterized oxidoreductase AIM33 (EC 1.-.-.-) (Altered inheritance of mitochondria protein 33)
Q08702	HNT3	Aprataxin-like protein (EC 3.6.1.71) (EC 3.6.1.72) (Hit family protein 3)
P49089	ASN1	Asparagine synthetase [glutamine-hydrolyzing] 1 (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase 1)
P32660	DNF1	Phospholipid-transporting ATPase DNF1 (EC 7.6.2.1) (Flippase DNF1)
P40458	ATG32	Autophagy-related protein 32 (Extracellular mutant protein 37)
P53946	ARP5	Actin-related protein 5 (Actin-like protein ARP5)
P53731	ARC35	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)
Q05933	ARC18	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)
Q12165	ATP16	ATP synthase subunit delta, mitochondrial (F-ATPase delta subunit)
P13587	ENA1	Sodium transport ATPase 1 (EC 7.2.2.3)
Q01896	ENA2	Sodium transport ATPase 2 (EC 7.2.2.3)
Q12359	ATO3	Ammonia transport outward protein 3
Q03153	ATP25	ATPase synthesis protein 25, mitochondrial (OLI1 mRNA stabilization factor)
P22135	ATP12	Protein ATP12, mitochondrial
P48524	BUL1	Ubiquitin ligase-binding protein BUL1 (Respiration deficiency suppressor 1)
Q04749	AVO2	Target of rapamycin complex 2 subunit AVO2 (TORC2 subunit AVO2) (Adheres voraciously to TOR2 protein 2)
P85052	BUD25	Bud site selection protein 25
P25385	BOS1	Protein transport protein BOS1 (Bet one suppressor 1)
P06115	CTT1	Catalase T (EC 1.11.1.6)
P38221	CDS1	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CDP-DG synthase) (CTP:phosphatidate cytidylyltransferase)
Q12262	MCM16	Inner kinetochore subunit MCM16 (CENP-H homolog) (Constitutive centromere-associated network protein MCM16) (Minichromosome maintenance protein 16)
P08004	CHS1	Chitin synthase 1 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 1)
P11433	CDC24	Cell division control protein 24 (Calcium regulatory protein)
P08679	CIT2	Citrate synthase, peroxisomal (EC 2.3.3.16)
P38779	CIC1	Proteasome-interacting protein CIC1 (Core interacting component 1)
Q12348	RRI2	COP9 signalosome complex subunit 10
Q06538	CSC1	Calcium permeable stress-gated cation channel 1 (ScCSC1)
P53968	CRZ1	Transcriptional regulator CRZ1
Q12028	APL4	AP-1 complex subunit gamma-1 (Clathrin assembly protein complex 1 gamma large chain) (Clathrin assembly protein large gamma chain) (Gamma-adaptin)
Q00381	APS2	AP-2 complex subunit sigma (Adaptin small chain) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma2-adaptin)
P0CX79	ASP3-4	L-asparaginase 2-4 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)
Q06541	ARV1	Protein ARV1
P38316	ATG12	Ubiquitin-like protein ATG12 (Autophagy-related protein 12)
P43601	ATG18	Autophagy-related protein 18 (Cytoplasm to vacuole targeting protein 18) (Needed for premeiotic replication protein 1) (Swollen vacuole phenotype protein 1)
P53090	ARO8	Aromatic/aminoadipate aminotransferase 1 (2-aminoadipate aminotransferase) (EC 2.6.1.39) (2-aminoadipate transaminase) (Alpha-aminoadipate aminotransferase) (AadAT) (Aromatic amino acid aminotransferase 1) (EC 2.6.1.57) (Aromatic amino acid aminotransferase I) (Aromatic amino acid-requiring protein 8)
Q04371	YMR027W	Damage-control phosphatase YMR027W (EC 3.1.3.-) (Sugar phosphate phosphatase YMR027W)
P36062	AVT3	Vacuolar amino acid transporter 3
P40851	AXL1	Putative protease AXL1 (EC 3.4.24.-)
P32907	ATO2	Ammonia transport outward protein 2
P41695	BUB1	Checkpoint serine/threonine-protein kinase BUB1 (EC 2.7.11.1)
P43571	BST1	GPI inositol-deacylase (EC 3.1.-.-) (Bypass of SEC30 protein 1)
Q06703	CDA2	Chitin deacetylase 2 (EC 3.5.1.41)
Q12748	CTF3	Inner kinetochore subunit CTF3 (CENP-I homolog) (Chromosome loss protein 3) (Chromosome transmission fidelity protein 3) (Constitutive centromere-associated network protein CTF3)
P32656	GCG1	Glutathione-specific gamma-glutamylcyclotransferase (Gamma-GCG) (EC 4.3.2.7)
P25342	CDC10	Cell division control protein 10
Q04935	COX20	Cytochrome c oxidase assembly protein COX20, mitochondrial
P00420	COX3	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)
P25618	CWH43	Protein CWH43 (Calcofluor white hypersensitive protein)
P25355	CTR86	Copper transport protein 86
Q04201	CUE4	CUE domain-containing protein CUE4 (Coupling of ubiquitin conjugation to ER degradation protein 4)
Q03220	CTL1	Polynucleotide 5'-triphosphatase (EC 3.1.3.33) (mRNA 5'-triphosphatase) (TPase)
Q08923	CTI6	Histone deacetylase complex subunit CTI6 (CYC8-TUP1-interacting protein 6) (Transcriptional regulatory protein CTI6)
P06773	DCD1	Deoxycytidylate deaminase (EC 3.5.4.12) (dCMP deaminase)
P18899	DDR48	Stress protein DDR48 (DNA damage-responsive protein 48) (DDRP 48) (Flocculent-specific protein) (YP 75)
P14164	ABF1	ARS-binding factor 1 (Bidirectionally acting factor 1) (DNA replication enhancer-binding protein OBF1) (SFB-B)
P32463	ACP1	Acyl carrier protein, mitochondrial (ACP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)
P39925	AFG3	Mitochondrial respiratory chain complexes assembly protein AFG3 (EC 3.4.24.-) (ATPase family gene 3 protein) (Tat-binding homolog 10)
Q08641	ABP140	tRNA(Thr) (cytosine(32)-N(3))-methyltransferase (EC 2.1.1.268) (Actin-binding protein of 140 kDa) (tRNA methyltransferase of 140 kDa)
P53909	AAH1	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)
P40024	ARB1	ABC transporter ATP-binding protein ARB1 (ATP-binding cassette protein involved in ribosome biogenesis 1)
P36090	ANR2	Uncharacterized protein ANR2 (AVL9-related family protein 2)
P53933	APP1	Phosphatidate phosphatase APP1 (PAP) (EC 3.1.3.4) (Actin patch protein 1)
P38207	APN2	DNA-(apurinic or apyrimidinic site) endonuclease 2 (EC 3.1.-.-) (AP endonuclease 2) (Apurinic-apyrimidinic endonuclease 2)
P20486	CKS1	Cyclin-dependent kinases regulatory subunit (Cell division control protein CKS1)
Q12309	CLF1	Pre-mRNA-splicing factor CLF1 (Crooked neck-like factor 1) (PRP19-associated complex protein 77) (Synthetic lethal with CDC40 protein 3)
Q12025	EMC10	Endoplasmic reticulum membrane protein complex subunit 10
P0CX12	COS2	Protein COS2
P07255	COX9	Cytochrome c oxidase subunit 9, mitochondrial (Cytochrome c oxidase polypeptide VIIA)
P40312	CYB5	Cytochrome b5
Q99321	DDP1	Diphosphoinositol polyphosphate phosphohydrolase DDP1 (EC 3.6.1.52) (Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase) (Ap6A hydrolase) (Diadenosine and diphosphoinositol polyphosphate phosphohydrolase 1) (Diadenosine hexaphosphate hydrolase (AMP-forming)) (EC 3.6.1.60)
P69851	DAD4	DASH complex subunit DAD4 (DUO1 and DAM1-interacting protein 4) (Helper of ASK1 protein 2) (Outer kinetochore protein DAD4)
P38121	POL12	DNA polymerase alpha subunit B (DNA polymerase I subunit B) (DNA polymerase alpha:primase complex p86 subunit) (Pol alpha-primase complex p86 subunit) (DNA polymerase-primase complex p74 subunit)
P36049	EBP2	rRNA-processing protein EBP2 (EBNA1-binding protein homolog)
P38874	IKI1	Elongator complex protein 5 (Gamma-toxin target 5) (HAT-associated protein 2) (Protein IKI1)
Q07651	FMP45	SUR7 family protein FMP45
P38231	FMP23	Protein FMP23, mitochondrial
P41813	FKH2	Fork head protein homolog 2
P08524	ERG20	Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)
P25585	FYV5	Protein FYV5 (Function required for yeast viability protein 5)
Q04839	GFD1	mRNA transport factor GFD1 (Good for full DBP5 activity protein 1)
P25641	ATG15	Putative lipase ATG15 (EC 3.1.1.3) (Autophagy-related protein 15) (Cytoplasm to vacuole targeting protein 17)
P53264	CLD1	Cardiolipin-specific deacylase 1, mitochondrial (EC 3.5.1.-)
P36107	AUR1	Inositol phosphorylceramide synthase catalytic subunit AUR1 (IPC synthase catalytic subunit AUR1) (EC 2.-.-.-) (Aureobasidin A resistance protein) (Phosphatidylinositol:ceramide phosphoinositol transferase)
Q05949	BUR2	Protein BUR2 (Bypass UAS requirement protein 2) (Chromosome stability protein 4)
P22804	BET1	Protein transport protein BET1 (Suppressor of loss of YPT1 protein 12) (Protein SLY12)
P39713	BDH2	Probable diacetyl reductase [(R)-acetoin forming] 2 (EC 1.1.1.303)
P39714	BDH1	(R,R)-butanediol dehydrogenase (EC 1.1.1.4)
P38041	BOI1	Protein BOB1 (BEM1-binding protein) (Growth inhibitory protein 7)
P33306	BCK2	Protein BCK2 (Bypass of kinase C protein)
P07253	CBP6	Cytochrome B pre-mRNA-processing protein 6
P43569	CAF16	CCR4-associated factor 16
P24868	CLB1	G2/mitotic-specific cyclin-1
P06704	CDC31	Cell division control protein 31 (Nuclear pore protein CDC31) (Nucleoporin CDC31)
P27636	CDC15	Cell division control protein 15 (EC 2.7.11.1)
P53168	DUO1	DASH complex subunit DUO1 (Death upon overproduction protein 1) (Outer kinetochore protein DUO1)
Q04368	CSI1	Cop9 signalosome-interactor 1
P40465	CSM2	Chromosome segregation in meiosis protein 2
P47081	COX16	Cytochrome c oxidase assembly protein COX16, mitochondrial
P42842	EMW1	Essential for maintenance of the cell wall protein 1
Q05874	NNT1	Protein N-terminal and lysine N-methyltransferase EFM7 (EC 2.1.1.-) (Elongation factor methyltransferase 7) (Nicotinamide N-methyltransferase-like protein 1)
P38347	EFM2	Protein-lysine N-methyltransferase EFM2 (EC 2.1.1.-) (Elongation factor methyltransferase 2)
P32501	GCD6	Translation initiation factor eIF-2B subunit epsilon (GCD complex subunit GCD6) (Guanine nucleotide exchange factor subunit GCD6) (eIF-2B GDP-GTP exchange factor subunit epsilon)
P43613	ERJ5	ER-localized J domain-containing protein 5
Q12480	AIM45	Probable electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF) (Altered inheritance rate of mitochondria protein 45)
Q03096	EST3	Telomere replication protein EST3 (Ever shorter telomeres protein 3)
P27882	ERV1	Mitochondrial FAD-linked sulfhydryl oxidase ERV1 (EC 1.8.3.2) (14 kDa regulatory protein) (Essential for respiration and vegetative growth protein 1)
P24521	ERG8	Phosphomevalonate kinase (EC 2.7.4.2)
P18411	FUN14	Protein FUN14
P39012	GAA1	GPI transamidase component GAA1
Q12001	ALG6	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.267) (Asparagine-linked glycosylation protein 6) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase)
Q04413	API2	Uncharacterized protein API2
P34233	ASH1	Transcriptional regulatory protein ASH1 (Daughter cells HO repressor protein)
P53841	BSC4	Bypass of stop codon protein 4
P53755	BSC5	Bypass of stop codon protein 5
Q01389	BCK1	Serine/threonine-protein kinase BCK1/SLK1/SSP31 (EC 2.7.11.1)
Q06338	BCP1	Protein BCP1
P21269	CCA1	CCA tRNA nucleotidyltransferase, mitochondrial (EC 2.7.7.72) (CCA-adding enzyme) (tRNA CCA-pyrophosphorylase) (tRNA adenylyltransferase) (tRNA nucleotidyltransferase)
P13517	CAP2	F-actin-capping protein subunit beta
P53836	CAF120	CCR4-NOT transcriptional complex subunit CAF120 (120 kDa CCR4-associated factor)
P32657	CHD1	Chromo domain-containing protein 1 (EC 3.6.4.-) (ATP-dependent helicase CHD1)
Q12145	CMR3	Zinc finger protein CRM3 (Changed mutation rate protein 3)
Q03690	CLU1	Clustered mitochondria protein 1 (Translation initiation factor 31) (eIF3-associated protein p135)
P43639	CKB1	Casein kinase II subunit beta (CK II beta)
P38930	CKB2	Casein kinase II subunit beta' (CK II beta')
P00427	COX6	Cytochrome c oxidase subunit 6, mitochondrial (Cytochrome c oxidase polypeptide VI)
P53314	CPD1	2',3'-cyclic-nucleotide 3'-phosphodiesterase (CPDase) (EC 3.1.4.37)
P46947	BUD13	Pre-mRNA-splicing factor CWC26 (Bud site selection protein 13) (Complexed with CEF1 protein 26) (Synthetic lethal with CLF1 protein 7)
P41817	CUP9	Homeobox protein CUP9
P07143	CYT1	Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome c oxidoreductase cytochrome c1 subunit) (Cytochrome c-1)
Q04895	DAL4	Allantoin permease (Allantoin transport protein)
P54838	DAK1	Dihydroxyacetone kinase 1 (DHA kinase 1) (EC 2.7.1.28) (EC 2.7.1.29) (Glycerone kinase 1) (Triokinase 1) (Triose kinase 1)
P39517	DHH1	ATP-dependent RNA helicase DHH1 (EC 3.6.4.13) (DExD/H-box helicase 1)
Q05031	DFG5	Mannan endo-1,6-alpha-mannosidase DFG5 (EC 3.2.1.101) (Endo-alpha-1->6-D-mannanase DFG5)
Q12432	EAF3	Chromatin modification-related protein EAF3 (ESA1-associated factor 3)
P48235	ECL1	Extender of the chronological lifespan protein 1
Q03921	DOP1	Protein dopey
Q12168	ACF2	Endo-1,3(4)-beta-glucanase 2 (Endo-1,3-beta-glucanase 2) (Endo-1,4-beta-glucanase 2) (EC 3.2.1.6) (Laminarinase-2)
Q12418	GIS3	Protein GIS3
P04397	GAL10	Bifunctional protein GAL10 [Includes: UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase); Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase)]
P53849	GIS2	Zinc finger protein GIS2
P38263	VID24	Vacuolar import and degradation protein 24 (Glucose-induced degradation protein 4)
Q08361	AAD15	Putative aryl-alcohol dehydrogenase AAD15 (EC 1.1.1.-)
Q99299	AIM44	Altered inheritance of mitochondria protein 44
P53974	ARK1	Actin-regulating kinase 1 (EC 2.7.11.1)
P11076	ARF1	ADP-ribosylation factor 1
P53309	YAP1802	Clathrin coat assembly protein AP180B
P53890	BNI5	Bud neck protein 5
P21560	CBP3	Protein CBP3, mitochondrial
Q03941	CAB5	Dephospho-CoA kinase CAB5 (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase)
P20438	CLN2	G1/S-specific cyclin CLN2
Q3E829	MHF2	Inner kinetochore subunit MHF2 (CENP-X homolog) (Constitutive centromere-associated network protein MHF2) (MHF histone-fold complex subunit 2) (MPH1-associated histone-fold protein 2)
P14180	CHS2	Chitin synthase 2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 2)
P32178	ARO7	Chorismate mutase (CM) (EC 5.4.99.5)
P25656	CDC50	Cell division control protein 50
Q12468	RRI1	COP9 signalosome complex subunit 5 (EC 3.4.-.-)
Q06440	CRN1	Coronin-like protein
P04037	COX4	Cytochrome c oxidase subunit 4, mitochondrial (Cytochrome c oxidase polypeptide IV)
P49573	CTR1	Copper transport protein CTR1 (Copper transporter 1)
P46963	CTK3	CTD kinase subunit gamma (CTDK-I gamma subunit) (CTD kinase 32 kDa subunit) (CTD kinase subunit 3)
P13663	HOM2	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)
P53095	DSD1	D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD)
Q12015	DSC3	DSC E3 ubiquitin ligase complex subunit 3 (Defective for SREBP cleavage protein 3)
P47027	DPB11	DNA replication regulator DPB11
P32801	ELM1	Serine/threonine-protein kinase ELM1 (EC 2.7.11.1)
P00924	ENO1	Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 1) (2-phosphoglycerate dehydratase 1)
P40456	ESL1	EST/SMG-like protein 1
P28240	ICL1	Isocitrate lyase (ICL) (EC 4.1.3.1) (Methylisocitrate lyase) (MICA) (EC 4.1.3.30) (Threo-D(S)-isocitrate glyoxylate-lyase)
P42884	AAD14	Putative aryl-alcohol dehydrogenase AAD14 (EC 1.1.1.-)
Q03233	ADD37	Alpha1-proteinase inhibitor-degradation deficient protein 37
P38700	APM2	Adaptin medium chain homolog APM2 (Adaptin-mu1-II)
Q12380	ATG5	Autophagy protein 5
P36149	BET3	Trafficking protein particle complex subunit BET3 (TRAPP subunit BET3) (Transport protein particle 22 kDa subunit)
Q02948	VPS30	Vacuolar protein sorting-associated protein 30 (Autophagy-related protein 6)
P07267	PEP4	Saccharopepsin (EC 3.4.23.25) (Aspartate protease) (PrA) (Proteinase A) (Carboxypeptidase Y-deficient protein 4) (Proteinase YSCA)
P29465	CHS3	Chitin synthase 3 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 3) (Class-IV chitin synthase 3)
P25694	CDC48	Cell division control protein 48 (EC 3.6.4.6) (Cell division cycle protein 48) (Transitional endoplasmic reticulum ATPase homolog)
Q12018	CDC53	Cell division control protein 53 (Cullin-A) (E3 ubiquitin ligase complex SCF subunit CDC53)
P09119	CDC6	Cell division control protein 6
P53318	COQ6	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-) (Ubiquinone C4-deaminase) (EC 3.5.-.-)
P21595	DIT2	Cytochrome P450-DIT2 (EC 1.14.14.-) (Cytochrome P450 56)
P10614	ERG11	Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)
P32626	UTR4	Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase) (Unknown transcript 4 protein)
P53743	ESF2	Pre-rRNA-processing protein ESF2 (18S rRNA factor 2)
P29704	ERG9	Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase)
Q08645	MET7	Folylpolyglutamate synthase (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase)
P36143	GLG1	Glycogenin-1 (EC 2.4.1.186) (Glycogen synthesis initiator protein 1) (Glycogenin glucosyltransferase 1)
Q06336	GGA1	ADP-ribosylation factor-binding protein GGA1 (Golgi-localized, gamma ear-containing, ARF-binding protein 1)
P43535	GCN20	Protein GCN20 (General control non-derepressible protein 20)
P47129	ACF4	Assembly-complementing factor 4
P38305	AIM4	Altered inheritance of mitochondria protein 4 (Synthetic with old yellow enzyme protein 1)
P25371	ADP1	Probable ATP-dependent permease
P46672	ARC1	tRNA-aminoacylation cofactor ARC1 (Acyl-RNA-complex protein 1) (GU4 nucleic-binding protein 1) (G4p1 protein) (P42) (tRNA-interacting factor ARC1)
P22108	APA2	Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase 2 (Ap4A phosphorylase 2) (EC 2.7.7.53) (ADP-sulfurylase) (EC 2.7.7.5) (ATP adenylyltransferase)
P0CZ17	ASP3-1	L-asparaginase 2-1 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)
P14904	APE1	Vacuolar aminopeptidase 1 (EC 3.4.11.22) (Aminopeptidase yscI) (Leucine aminopeptidase IV) (LAPIV) (Lysosomal aminopeptidase III) (Polypeptidase) (Vacuolar aminopeptidase I)
P48361	ASK10	Activator of SKN7 protein 10 (Regulator of the glycerol channel 2)
P53983	ASI3	Protein ASI3 (Amino acid sensor-independent protein 3)
